# {"t_start": 1568036757.2229385, "env_id": "Pendulum-v0"} 
obnow,action,obnext,reward
[-3.06418847 -0.50048205],[-0.46963614],[-0.99700579 -0.07732691 -0.50048205],-9.249226227810302
[-3.10310626 -0.066249  ],[0.23905702],[-0.99925949 -0.03847689 -0.066249  ],-9.609279646938214
[ 2.84448881 -5.62208648],[1.7260959],[-0.95618835  0.29275217 -5.62208648],-13.245056727340872
[70.59502665  7.85098721],[0.8878891],[0.09068331 0.99587978 7.85098721],-6.158814231348764
[-2.85068200e+00  1.01738226e-03],[1.3930563],[-0.95798308 -0.28682473  0.00101738],-8.128623608126262
[43.4548952   5.69495738],[1.8770155],[ 0.86411756 -0.50329002  5.69495738],-4.21256626003108
[3.5437238 0.1006345],[0.9138197],[-0.92022899 -0.39138037  0.1006345 ],-7.539510481008307
[-71.64813946  -8.        ],[0.39072686],[-0.82051121 -0.57163043 -8.        ],-10.825841245632722
[-15.48926201  -6.81535661],[0.25933146],[-0.97618005 -0.216962   -6.81535661],-10.83568652790751
[-13.14657479  -4.10070923],[0.7840402],[ 0.83635074 -0.54819471 -4.10070923],-1.696480086788255
[2.327259  0.7562716],[-1.4982504],[-0.68635316  0.72726841  0.7562716 ],-5.261151269323577
[2.72227934 6.28841174],[-1.6937468],[-0.91336873  0.40713335  6.28841174],-9.449100343542364
[-51.93672986  -5.27850113],[0.28200743],[-0.10028223 -0.99495903 -5.27850113],-4.0790098172853115
[17.62055869  6.82375254],[1.9945377],[ 0.33518265 -0.94215317  6.82375254],-7.761398077310998
[-3.50426655 -2.76476447],[-1.3396543],[-0.93495154  0.35477546 -2.76476447],-9.257290082511588
[13.31163184  7.07149945],[1.9488306],[0.73491078 0.67816381 7.07149945],-4.3729446568771335
[46.94944538  8.        ],[-1.6824341],[-0.98482312  0.17356103  8.        ],-12.95202131555642
[-2.55268597  2.06289219],[0.9246211],[-0.83154846 -0.55545221  2.06289219],-7.5715626905906435
[49.80253759  6.07828313],[1.9819952],[ 0.89474124 -0.44658494  6.07828313],-4.562754558611249
[-4.10782532 -1.06097453],[-1.9800702],[-0.56840313  0.82275019 -1.06097453],-5.154021454151953
[-3.44110794  0.1258316 ],[-1.82311],[-0.95547962  0.29505711  0.1258316 ],-8.048015001461293
[1.82096325 0.0564891 ],[-1.9812441],[-0.24756569  0.96887111  0.0564891 ],-3.3235041836616412
[-3.41513277e+00  3.36637624e-03],[-1.3544444],[-0.9628206   0.27014162  0.00336638],-8.226595846715663
[-3.66570861  0.1803735 ],[-1.9695683],[-0.8657667   0.50044782  0.1803735 ],-6.808827999327587
[ 2.92126271 -0.70253986],[-1.8646876],[-0.97582539  0.2185516  -0.70253986],-8.775183219307676
[ 3.52206067 -0.04589281],[1.8063297],[-0.92849094 -0.37135506 -0.04589281],-7.6145406573682175
[-3.5478232   0.09402169],[-1.8582696],[-0.91861684  0.39514946  0.09402169],-7.460498106315459
[2.50784471 0.80254357],[-1.9992177],[-0.80581376  0.59216905  0.80254357],-6.133874571337708
[-3.93132838 -1.05408977],[-1.99618],[-0.70403302  0.71016724 -1.05408977],-5.944341021228665
[-3.29911873  1.20036015],[-1.9994303],[-0.9876184   0.1568754   1.20036015],-8.733189342114494
[-3.64160248 -0.10801311],[-1.9637895],[-0.87757785  0.47943416 -0.10801311],-7.013249728966592
[2.55525273 0.47055253],[-1.9974842],[-0.83297143  0.553316    0.47055253],-6.425223196124561
[2.72195206 0.880499  ],[-1.9965473],[-0.91323543  0.40743226  0.880499  ],-7.246607771260893
[2.81977376 2.00995094],[-1.9996846],[-0.94866169  0.3162926   2.00995094],-7.799461606032089
[-2.78296194 -0.11297679],[1.9810055],[-0.93637831 -0.35099239 -0.11297679],-7.719435086254449
[2.56408952 0.05549795],[-1.9992372],[-0.83782838  0.54593369  0.05549795],-6.5646410165993565
[-2.77480235  0.93781031],[1.9466368],[-0.93348322 -0.35862109  0.93781031],-8.043473927909742
[-3.7114601  -0.85323754],[-1.9949015],[-0.8419725   0.53952045 -0.85323754],-6.925739344226481
[ 2.45340764 -1.21848874],[-1.9986439],[-0.77240005  0.63513633 -1.21848874],-6.510518282489209
[2.48034534 0.27752099],[-1.9992925],[-0.78922687  0.61410174  0.27752099],-6.088648830218547
[-3.90961213 -0.51962698],[-1.9999925],[-0.71928798  0.69471203 -0.51962698],-5.814638046829979
[ 2.6759546  -0.07944921],[-1.9856958],[-0.89353527  0.44899301 -0.07944921],-7.187290110334549
[2.69520071 1.64306574],[-1.999982],[-0.90201062  0.43171385  1.64306574],-7.076893828174745
[ 3.38381753 -1.07644261],[1.9991677],[-0.97080671 -0.23986315 -1.07644261],-8.235110012544872
[-3.66051058 -0.99886127],[-1.997501],[-0.86835633  0.49594081 -0.99886127],-7.254664920532975
[-3.24366225 -0.50381977],[-1.9197209],[-0.99479542  0.10189245 -0.50381977],-9.403635776515712
[ 3.62336565 -0.49700363],[1.999773],[-0.8861748  -0.46335108 -0.49700363],-6.965816396048561
[2.60356722 0.0803958 ],[-1.9951646],[-0.8587222   0.51244139  0.0803958 ],-6.761632775181441
[-2.67444226 -0.29557585],[1.9978567],[-0.89285522 -0.45034383 -0.29557585],-7.083933621563697
[-3.81962449 -0.50359357],[-1.9952399],[-0.77880878  0.62726141 -0.50359357],-6.241356845715133
[2.46507424 0.27539098],[-1.9989504],[-0.7797572   0.62608203  0.27539098],-6.01384433986451
[-2.96027341 -0.19325947],[1.8929893],[-0.98360665 -0.18032735 -0.19325947],-8.720897165537759
[ 3.58241759 -1.1227609 ],[1.9997302],[-0.90439998 -0.42668568 -1.1227609 ],-7.111519875741083
[ 3.1125593 -0.1862896],[-1.6779679],[-0.99957856  0.02902928 -0.1862896 ],-9.74916767102278
[-4.13224304 -0.21438461],[-1.9999956],[-0.54814601  0.83638266 -0.21438461],-4.7056419798157485
[-3.82114805 -1.30532517],[-1.9998657],[-0.77785221  0.62844725 -1.30532517],-6.5979401487918095
[ 2.3720442  -0.97703694],[-1.9997776],[-0.71822493  0.695811   -0.97703694],-6.002095518885991
[-3.58255626  1.54367489],[-1.999946],[-0.90434081  0.42681109  1.54367489],-7.1032062168442245
[2.35995733 0.295372  ],[-1.9998598],[-0.7097625   0.70444105  0.295372  ],-5.504260295826348
[-2.80219256 -0.08869505],[1.986137],[-0.94295456 -0.33292147 -0.08869505],-7.833183492965299
[2.33905687 0.18483019],[-1.9999136],[-0.69488541  0.71912048  0.18483019],-5.432391124938779
[-2.61605229  4.43088838],[1.8425589],[-0.86505298 -0.50168052  4.43088838],-9.972919510269385
[ 2.95104152 -4.32562336],[-1.0360909],[-0.9819      0.18940008 -4.32562336],-11.432682346592985
[-19.76162164  -1.88074022],[1.9111071],[ 0.61211355 -0.79076988 -1.88074022],-0.9352816414154956
[59.93243693  8.        ],[1.8285543],[-0.97081831 -0.23981619  8.        ],-15.18513294222461
[-24.40811312  -6.20044943],[-1.5715972],[ 0.74874599  0.66285703 -6.20044943],-5.441484781470563
[60.59014772  7.93726778],[1.9921706],[-0.62169824 -0.78325685  7.93726778],-13.366013718273779
[57.66528645  5.40440011],[-1.07779],[0.43872347 0.89862212 5.40440011],-3.2219488611847047
[45.72635458  6.27904441],[-0.01329505],[-0.17239554  0.98502781  6.27904441],-5.112643018195077
[61.59988964  6.9078592 ],[1.9951524],[ 0.33238657 -0.94314324  6.9078592 ],-7.906889392582003
[-72.08571741  -8.        ],[-1.9987223],[-0.98542979 -0.17008273 -8.        ],-12.82661584299704
[49.88054372  4.82298525],[-1.3689549],[ 0.92682144 -0.37550236  4.82298525],-3.383558041429277
[61.21577794  7.3928588 ],[1.9990199],[-0.04526334 -0.99897509  7.3928588 ],-9.998927012806785
[-74.23763269  -6.78739097],[-1.9996785],[ 0.39879763  0.91703896 -6.78739097],-7.489210816281773
[56.99199233  6.5501951 ],[1.9645723],[0.9033306  0.42894501 6.5501951 ],-3.8227340147074904
[73.67795252  7.49411891],[1.9997822],[-0.14891885 -0.98884942  7.49411891],-10.544902564543543
[61.77351054  6.64270892],[1.9967097],[ 0.49031731 -0.87154399  6.64270892],-6.951532070034791
[-57.14700559  -6.84162074],[-1.9904689],[ 0.82627301 -0.56326984 -6.84162074],-4.105632464413098
[-73.02809599  -8.        ],[-1.9998294],[-0.71689009  0.6971862  -8.        ],-14.085571120065326
[-74.87292156  -6.13332561],[-1.9992073],[ 0.86517247  0.50147442 -6.13332561],-4.776679948841327
[-62.12630238  -6.20359559],[-1.6445794],[ 0.76125457  0.64845314 -6.20359559],-5.382902809755428
[-69.17670475  -5.49665781],[0.00668271],[ 0.99809923 -0.06162729 -5.49665781],-3.244843598937793
[-71.10193328  -8.        ],[-1.7643459],[-0.40419501 -0.91467283 -8.        ],-8.219675465559211
[53.14981654  8.        ],[1.9953395],[-0.96709111  0.2544303   8.        ],-12.383560939426888
[25.87669185  4.02511195],[-1.9418948],[0.73579895 0.67720005 4.02511195],-1.8420415947672266
[ 2.4944796  -0.11194622],[-1.9987676],[-0.79782762  0.60288564 -0.11194622],-6.261188547782714
[38.28757148  3.24151811],[-1.9235106],[0.83179669 0.55508041 3.24151811],-1.2222521309998178
[-57.11150227  -4.1077338 ],[1.7438878],[ 0.84574606 -0.53358561 -4.1077338 ],-1.817475793880971
[-6.04062189 -0.01063218],[-1.2027739],[ 0.97072545  0.24019178 -0.01063218],-0.060553404395865464
[34.1801495  8.       ],[1.999287],[-0.92963706  0.36847651  8.        ],-11.323182272151751
[46.3515172   7.07418542],[1.9477407],[-0.71625699  0.6978366   7.07418542],-7.793148329020706
[32.13326066  1.80894102],[-1.9915874],[0.75356089 0.65737811 1.80894102],-0.675079220800711
[-38.62960206  -3.84888583],[1.9124167],[ 0.59744094 -0.80191291 -3.84888583],-1.8668691997422253
[-19.10335349  -0.78799111],[1.3330226],[ 0.9679659  -0.25108168 -0.78799111],-0.11636398096033769
[-37.75196265  -2.03332787],[1.5345657],[ 0.99860372 -0.05282621 -2.03332787],-0.5337883941824145
[45.61234161  4.52479611],[-1.8567036],[-0.05921348  0.99824534  4.52479611],-3.625508837447062
[32.41229128  2.22910719],[-1.9789078],[0.54335769 0.83950129 2.22910719],-1.1654972382816766
[-30.54301255  -3.83026697],[1.6068069],[ 0.64259657  0.76620471 -3.83026697],-3.370202421950533
[48.89424952  7.05122515],[1.9687386],[ 0.1982414  -0.98015323  7.05122515],-8.596073196060225
[30.1168977   6.91491859],[1.6301515],[ 0.26843448 -0.96329795  6.91491859],-8.21112491858494
[47.15731097  8.        ],[1.9984798],[-0.99944156 -0.03341494  8.        ],-13.942088964438257
[ 6.35326361e+00 -1.94444320e-03],[-0.35062298],[ 0.99754552  0.07002096 -0.00194444],-0.005047917201411895
[19.69679322  2.378053  ],[-1.9537934],[0.66205619 0.74945421 2.378053  ],-1.0060041583449784
[21.96898265  7.41329477],[1.9808497],[-0.99975435  0.02216411  7.41329477],-12.223227124150293
[-19.27731461  -0.42943895],[1.695389],[ 0.9098978  -0.41483248 -0.42943895],-0.1829469901809892
