,channel,channelusage
N7_AP_197,44,28.897222222222222
N7_AP_212,64,10.136111111111111
N7_AP_214,52,34.48888888888889
N7_AP_221,60,42.83888888888889
N7_AP_228,36,30.602777777777778
N7_AP_231,60,44.80555555555556
N7_AP_232,44,38.56111111111111
N7_AP_257,52,35.88611111111111
N7-AP-260,56,32.452777777777776
N7_AP_298,40,42.047222222222224
N7_AP_299,165,27.352777777777778
N7_AP_300,60,40.90833333333333
N7_AP_301,44,31.933333333333334
N7_AP_302,64,31.619444444444444
N7_AP_303,60,45.86388888888889
N7_AP_304,56,30.030555555555555
N7_AP_305,52,21.613888888888887
N7_AP_306,36,33.6
N7_AP_307,56,27.191666666666666
N7_AP_308,48,12.825
N7_AP_309,157,24.177777777777777
N7_AP_310,153,10.916666666666666
N7_AP_311,161,21.147222222222222
N7_AP_313,149,26.291666666666668
N7_AP_315,40,49.61666666666667
N7_AP_316,36,53.43333333333333
N7_AP_317,149,25.45277777777778
N7_AP_318,60,57.30833333333333
N7_AP_319,36,51.44722222222222
N7_AP_320,36,50.21944444444444
N7_AP_322,60,49.50833333333333
N7_AP_323,44,45.583333333333336
N7_AP_324,40,52.208333333333336
N7_AP_325,40,46.525
N7_AP_326,36,42.638888888888886
N7_AP_329,48,36.422222222222224
N7_AP_330,44,45.047222222222224
N7_AP_334,161,41.61046511627907
N7_AP_335,36,39.05833333333333
N7_AP_336,48,29.897222222222222
N7_AP_337,56,31.47222222222222
N7_AP_338,149,31.0
N7_AP_339,161,35.15277777777778
N7_AP_340,157,20.886111111111113
N7_AP_341,157,19.805555555555557
N7_AP_342,40,30.72222222222222
N7_AP_343,165,22.227777777777778
N7_AP_344,56,32.35
N7_AP_345,149,26.441666666666666
N7_AP_346,153,9.522222222222222
N7_AP_348,44,40.68333333333333
N7_AP_349,153,38.11944444444445
N7_AP_350,161,21.330555555555556
N7_AP_351,44,44.108333333333334
N7_AP_352,157,25.933333333333334
N7_AP_353,64,26.66111111111111
N7_AP_354,149,32.63611111111111
N7_AP_355,36,43.93333333333333
N7_AP_356,40,51.68888888888889
N7_AP_358,165,25.683333333333334
N7_AP_359,36,49.67777777777778
N7_AP_3,60,39.263888888888886
N7_AP_9,40,23.730555555555554
N7_AP_20,165,21.13888888888889
N7_AP_57,36,30.738888888888887
N7_AP_64,52,26.594444444444445
N7_AP_79,64,32.205555555555556
N7_AP_84,48,22.180555555555557
N7_AP_26,56,29.341666666666665
N7_AP_27,56,32.59722222222222
N7_AP_20-2F,48,38.797222222222224
