,N7_AP_197,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7-AP-260,N7_AP_298,N7_AP_299,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_3,N7_AP_9,N7_AP_20,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_26,N7_AP_27,N7_AP_20-2F
N7_AP_197,200,71,200,200,200,200,200,200,200,79,79,69,200,200,74,71,83,76,77,200,80,77,86,200,200,200,200,200,200,200,200,200,200,200,200,200,200,74,67,74,80,200,78,200,200,74,200,200,80,200,200,200,200,200,200,200,200,200,200,200,200,80,200,200,77,80,70,200,200,200,200
N7_AP_212,71,200,200,200,200,200,94,200,200,80,200,200,72,85,85,200,76,200,200,65,89,200,92,105,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,92,200,98,200,200,200,200,200,200,200,200,200,200,200,200,104,106,200,200,200,200,92,200,200
N7_AP_214,200,200,200,66,72,73,68,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,78,200,73,74,79,200,70,76,78,68,85,75,79,200,200,200,200,200,200,200,200,200,200,90,200,90,200,88,101,200,88,104,200,200,200,200,200,200,200,200,200,200,200,200,78,200,97
N7_AP_221,200,200,66,200,60,90,66,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,74,81,71,75,78,81,69,71,73,69,78,75,74,200,200,200,200,200,200,200,200,200,200,200,200,200,200,91,105,91,91,200,200,200,200,79,200,200,200,200,200,200,200,200,73,80,200
N7_AP_228,200,200,72,60,200,81,57,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,79,82,73,75,82,85,71,74,77,71,83,76,77,200,200,200,200,200,200,200,200,200,200,200,200,200,200,88,200,200,89,200,200,102,200,200,200,200,200,200,200,200,200,200,75,200,87
N7_AP_231,200,200,73,90,81,200,200,71,70,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,74,200,87,200,200,200,200,73,69,200,74,75,68,200,200,200,200,200,200,200,200,200,200,200,200,200,200,81,85,82,84,78,80,200,79,200,75,200,200,200,200,200,200,200,77,89,84
N7_AP_232,200,94,68,66,57,200,200,200,85,200,200,200,200,200,200,200,200,200,200,89,200,200,200,200,79,200,78,83,80,200,72,83,200,71,80,79,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,200,111,200,200,200,200,200,200,200,200,200,200,77,200,200
N7_AP_257,200,200,200,200,200,71,200,200,73,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,80,75,200,200,77,75,200,76,70,81,78,78,81,200,200,200,200,200,200,200,200,200,200,200,200,200,200,67,76,74,72,200,74,78,69,65,72,200,200,200,200,200,200,200,200,79,74
N7-AP-260,200,200,200,200,200,70,85,73,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,76,80,200,85,79,80,200,78,76,200,77,77,72,200,200,200,200,200,200,200,200,200,200,200,200,200,200,81,82,81,79,200,78,200,74,76,73,200,200,200,200,200,200,200,200,88,83
N7_AP_298,79,80,200,200,200,200,200,200,200,200,72,74,66,70,72,84,63,72,82,75,79,200,84,200,200,200,200,90,200,200,200,200,200,200,200,200,200,200,79,81,87,200,200,83,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,84,200,200,77,84,73,200,200,200,200
