,channel,channelusage
N7_AP_197,36,43.36151603498542
N7_AP_212,153,16.083333333333332
N7_AP_214,52,28.5
N7_AP_221,60,34.44166666666667
N7_AP_228,36,33.575
N7_AP_231,36,44.75277777777778
N7_AP_232,44,38.325
N7_AP_257,44,33.486111111111114
N7-AP-260,165,25.911357340720222
N7_AP_298,44,36.12777777777778
N7_AP_299,157,36.48888888888889
N7_AP_300,157,33.422222222222224
N7_AP_301,36,42.55555555555556
N7_AP_302,40,47.73888888888889
N7_AP_303,60,42.74722222222222
N7_AP_304,48,16.45277777777778
N7_AP_305,149,28.96388888888889
N7_AP_306,56,33.608333333333334
N7_AP_307,40,36.86944444444445
N7_AP_308,52,14.819444444444445
N7_AP_309,64,21.636111111111113
N7_AP_310,44,39.894444444444446
N7_AP_311,153,26.636111111111113
N7_AP_313,48,11.061111111111112
N7_AP_315,40,48.80555555555556
N7_AP_316,36,48.00833333333333
N7_AP_317,149,36.00555555555555
N7_AP_318,60,35.15
N7_AP_319,36,47.97222222222222
N7_AP_320,52,38.297222222222224
N7_AP_322,60,42.102777777777774
N7_AP_323,44,42.794444444444444
N7_AP_324,40,50.88055555555555
N7_AP_325,40,45.625
N7_AP_326,36,45.0
N7_AP_329,48,23.40277777777778
N7_AP_330,44,42.78333333333333
N7_AP_334,60,42.09166666666667
N7_AP_335,153,32.76111111111111
N7_AP_336,44,47.333333333333336
N7_AP_337,161,21.71388888888889
N7_AP_338,165,33.172222222222224
N7_AP_339,161,37.477777777777774
N7_AP_340,153,31.308333333333334
N7_AP_341,165,39.041666666666664
N7_AP_342,165,36.647222222222226
N7_AP_343,157,44.53333333333333
N7_AP_344,60,33.84166666666667
N7_AP_345,149,35.291666666666664
N7_AP_346,40,27.002777777777776
N7_AP_348,44,40.425
N7_AP_349,60,40.705555555555556
N7_AP_350,157,40.46944444444444
N7_AP_351,149,36.01111111111111
N7_AP_352,157,40.519444444444446
N7_AP_353,36,41.90555555555556
N7_AP_354,60,41.81666666666667
N7_AP_355,52,36.61388888888889
N7_AP_356,149,39.297222222222224
N7_AP_358,149,39.794444444444444
N7_AP_359,165,23.372222222222224
N7_AP_3,48,32.016666666666666
N7_AP_9,44,33.888888888888886
N7_AP_20,64,13.194444444444445
N7_AP_57,60,34.96388888888889
N7_AP_64,153,27.925
N7_AP_79,149,31.913888888888888
N7_AP_84,52,21.683333333333334
N7_AP_26,56,24.95277777777778
N7_AP_27,161,23.408333333333335
N7_AP_20-2F,52,35.12222222222222
