,N7_AP_197,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7-AP-260,N7_AP_298,N7_AP_299,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_3,N7_AP_9,N7_AP_20,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_26,N7_AP_27,N7_AP_20-2F
N7_AP_197,0.6211180124223602,0.8847088820303946,0.9103382480485691,0.8924911953884589,0.8098035975507644,0.729764114313409,0.0,0.8125486461490563,0.0,0.9209617180205416,0.8973782984531392,0.9292785863605884,0.8460982752170492,0.9053929442560532,0.9258194561501304,0.9930791108441884,0.8755850770925111,0.9254220518211612,0.8575503022391235,0.8884886580148984,0.9305077244374368,0.9399848762469826,0.956171672109095,0.8929602610898326,0.8801780235228593,0.8320008249056949,0.8946177158859859,0.9042679411808554,0.8493481654879519,0.8302622285292593,0.8915626544864492,0.8674227139696741,0.8334418858216757,0.8838987691993347,0.8273297773826241,0.8783418703667683,0.8590475922156405,0.928664994425864,0.93557210467706,0.8739352759876716,0.8573596894750839,0.8848151658984891,0.8673294645009973,0.8581518340267015,0.8501996940012321,0.9695048209830479,0.9007435317166436,0.9023542715138996,0.8580052457952517,0.8696246670560289,0.8941489867757587,0.8185542093037856,0.7472533307465633,0.8588502768795692,0.7394778201245702,0.7012150137304882,0.7619896531160696,0.7918186504363259,0.752488704202271,0.7398359713101111,0.8558491370125718,0.8920297125515269,0.8869114559889401,0.8899487819765556,0.8788527762757207,0.944202875775934,0.8957719891790574,0.910152304109176,0.8972760376925416,0.8372171743606941,0.7804483652001587
N7_AP_212,0.8423264896351621,0.6292464176762488,0.9453512575888984,0.8777146894113076,0.8670500647182828,0.0,0.8525035445019807,0.0,0.0,0.9492919389978214,0.8267743403093722,0.8004518736871834,0.8878480045324585,0.9063399611702484,0.8807167043378106,0.8190014441922839,0.8430361482381532,0.8561737894293738,0.7526420247324048,1.0,0.8337880629930164,0.8166258370080027,0.9848235995265768,0.8491974518932749,0.0,0.0,0.7849004488433651,0.8510394227106359,0.8743911732546967,0.0,0.8827327785999929,0.8389091800953208,0.7663759841202579,0.9327731092436976,0.8822887863131107,0.9025481423847499,0.8692018190739814,0.8324999999999999,0.805869351669941,0.7956441149212234,0.8364312267657992,0.8699288676520129,0.8359522844011894,0.8757478140819143,0.8320493066255779,0.863309872385935,0.7919028340080971,0.0,0.8536585365853658,0.8151882688484918,0.9182608695652176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9367450731087096,0.9067252685921584,0.9072736818123284,0.8160323236296878,0.8638146771301328,0.7738489186341947,0.8819135422741691,0.8194499018719794,0.0,0.0
N7_AP_214,0.0,0.786558022095311,0.6366001734605378,0.9755500732593722,0.8772474998232759,0.7934278807210817,0.939272315451262,0.7690663907380784,0.8402231516592572,0.9477124183006536,0.8942675159235669,0.7731629392971247,0.8209876543209876,0.9743589743589745,0.8234724423313964,0.0,0.0,0.7816464165283948,0.0,0.7978050709893443,0.0,0.0,0.0,0.0,0.8531833275331673,0.8340469378528838,0.8924012726728585,0.9451326351954716,0.8256312644704435,0.8222636885641917,0.9373691157694038,0.902220744173586,0.8810480980312816,0.9497520122264792,0.8225687480531984,0.8798836145869845,0.8664649275870052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7716096825988693,0.0,0.0,0.7715942028985507,0.7107976230012911,0.7336749949981587,0.7963809166633772,0.7434677649029211,0.7124019340378179,0.802380125297945,0.7113012746893179,0.7203730983298908,0.7654053748210001,0.7954585173035214,0.765579029849643,0.0,0.0,0.0,0.0,0.0,0.0,0.8764011109919705,0.7990938923139125,0.7281429110441032
N7_AP_221,0.0,0.8935299131002733,0.9700755766286092,0.6290886214959218,0.9432776115435838,0.7987829381110071,0.9581068793836276,0.8547343347549531,0.841065385912202,0.9869281045751634,0.929936305732484,0.0,0.8103808033385498,0.9230769230769232,0.8519123629650203,0.0,0.83125,0.8186150657367203,0.8742514970059879,0.7843215287355672,0.799520766773163,0.0,0.0,0.0,0.914368903923102,0.8595847204464736,0.893705487023154,0.9226149516078236,0.8544500303274793,0.8779764857603152,0.9311954373843842,0.9151254887503067,0.8942887189733149,0.9493019292562196,0.8586522242975817,0.9114555099768528,0.9020859987688375,0.7851205583756344,0.0,0.0,0.0,0.8949529721085301,0.7360097323600973,0.0,0.8567026194144838,0.0,0.0,0.8314803802303117,0.0,0.0,0.0,0.739588859156256,0.7583945800156368,0.8269526089953629,0.7638522645508137,0.7540831752692388,0.777277748591032,0.8303979808996095,0.7347949969023277,0.8087035564039514,0.7982894315274394,0.9647540620056476,0.0,0.0,0.8245778611632271,0.0,0.0,0.0,0.914754465611082,0.8182940323713143,0.8136456887400092
N7_AP_228,0.7961126046784709,0.8646457546222177,0.9290033367464644,0.996741613814279,0.6236767594316762,0.8363708876279802,1.0,0.7888403045859187,0.0,0.9019607843137256,0.0,0.8242811501597445,0.7591486348953493,0.7889773062186856,0.872688853671421,0.0,0.0,0.8760523215109032,0.7984031936127743,0.8692998690312085,0.8794655823409816,0.8662420382165605,0.0,0.0,0.8337977917005995,0.8547442630360794,0.8830660483202609,0.9014742678666382,0.8446079765508564,0.838051913928131,0.9018407856714792,0.8750656450128212,0.8639317815103433,0.9563864345648028,0.8570377021067205,0.8667619454487112,0.8484762752609444,0.8515625,0.80625,0.8343373493975904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8800176545342476,0.0,0.7716285903604044,0.0,0.7952569641420165,0.7202870234189752,0.7936619162291264,0.7491899945782199,0.7260518818160951,0.7708167525570063,0.7767676450615943,0.7377236609458261,0.7902328071079625,0.0,0.8511620514791762,0.0,0.0,0.8567073170731707,0.929781142330276,0.8190184049079755,0.0,0.9044604539071716,0.7649835873246869,0.7763325584000075
N7_AP_231,0.8501035196687371,0.0,0.9636710276014824,0.963818183746002,0.9024599448773744,0.5799384262905419,0.9485311969860046,0.8908308437984618,0.0,0.9901960784313726,0.9108280254777071,0.0,0.8693364957732774,0.9269230769230768,0.9621412220461348,0.0,0.0,0.9681528662420382,0.8311377245508983,0.9568743870437618,0.950479233226837,0.964968152866242,0.9891241392625008,0.0,0.9545985457019877,0.9578104689868616,0.9163311298939412,0.9710107527926791,0.9746696579939916,0.9616028209720208,0.9577773962310968,0.9520680702925558,1.0,0.9305588729213018,0.9813768044095345,0.948949685969747,0.9683906571311616,0.95,0.0,0.9096385542168676,0.885997521685254,0.0,0.0,0.8841463414634146,0.0,0.0,0.0,0.9740775125370024,0.0,0.9040855718854048,0.972463768115942,0.8883814402357546,0.8450947321398345,0.879786604427152,0.8746469799446884,0.8492247991219317,0.91096219124039,0.8700819297789862,0.8617710246705159,0.9306209855844404,0.0,0.9429692928635848,0.962539948308052,0.9677842884582656,0.9283536585365854,0.9563463178254268,0.0,0.0,0.9586517240239932,0.8562716961904254,0.8663491640266174
N7_AP_232,0.0,0.8782248657241404,0.9340842263955528,0.970736531270492,0.9596629669215416,0.8180120849084245,0.6284450853817317,0.7306996244644473,0.8092803703280178,0.8449467941446551,0.8375796178343949,0.0,0.8549382716049383,0.8952991452991452,0.8881141045958795,0.0,0.81875,0.9085532302092812,0.0,0.8815659132531696,0.0,0.7810855718637497,0.0,0.0,0.8713977288009246,0.8749737743530622,0.8643927762862907,0.905995011189868,0.8723115924775976,0.8422016887230402,0.9008561903869384,0.8556609220640906,0.8561077183051963,0.9188437239167336,0.8735531722567631,0.8715524146270046,0.8052270166705405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8927715335854686,0.0,0.0,0.7745493107104985,0.7971067985584108,0.7048176732337528,0.8150895477215007,0.7100077214810412,0.7640966539787282,0.7638744064765411,0.7835659903612276,0.7218431124352532,0.7628114696796516,0.7940861846679022,0.0,0.0,0.0,0.8780487804878049,0.80359655872831,0.8036809815950919,0.0,0.8893553456942799,0.7913695671933226,0.7756339434539407
N7_AP_257,0.8726708074534162,0.0,0.8946659817855767,0.8923096318039515,0.8750421291544541,0.8895723979337511,0.8041048298262248,0.5738337896532884,0.0,0.8266016083852896,0.0,0.0,0.8654320987654319,0.0,0.8874801901743264,0.0,0.825,0.0,0.0,0.0,0.9009584664536742,0.7885198665453442,0.0,0.0,0.8829034706031065,0.9093474723871944,0.8325782111143187,0.8987404978788466,0.8860998971274591,0.9107560905316368,0.8873802718271928,0.8539903780684178,0.8880194539777563,0.8950123627163474,0.8820611121515576,0.8323582817937311,0.8396561921121026,0.8859375,0.0,0.8231618061029163,0.8364312267657992,0.8968753807883182,0.8302919708029197,0.8272357723577237,0.0,0.0,0.8448180003358271,0.8964858876627929,0.8130081300813007,0.8677993091003375,0.7924526790802261,0.8966582424370828,0.8460172290691367,0.8335453594410012,0.8703575581574551,0.8275915586477923,0.8810165408433112,0.8394192243159745,0.8736843209369755,0.9671248272992524,0.0,0.7778636741026861,0.7771930873647073,0.0,0.8597560975609756,0.0,0.0,0.8980035311693604,0.8878123731855917,0.8181768536233209,0.8358748349400937
N7-AP-260,0.0,0.0,0.9395363902579164,0.9365122777716336,0.9094013134787566,1.0,0.9223119570821856,0.8789723151042778,0.6138501234636407,0.0,0.0,0.0,0.8888888888888888,0.9455128205128204,0.0,0.0,0.9375,0.9452229299363056,0.0,0.0,0.8562300319488818,0.0,0.0,0.9379195737328708,0.9240239258065044,0.920981606948628,0.9194420405870171,0.9496304064254738,0.9257193942227572,0.9230670895848369,0.930906331185306,0.920600195026658,0.9222763767497548,0.9361062749714508,0.9222680162827308,0.9171971104508044,0.9205508090388744,0.93125,0.0,0.0,0.9231722428748452,0.8975769976987674,0.9002433090024331,0.0,0.8229382997253301,0.0,0.0,0.9501639893159629,0.9158536585365852,0.9209760594624182,0.943768115942029,0.8640681114367009,0.814072443515308,0.9025519879861448,0.827968535121427,0.8301142568952595,0.9110086134397845,0.8540320144591389,0.8409805519956743,0.9095005125074178,0.9176432985297249,0.9211845237215216,0.9330529477034291,0.9475498499301656,0.0,0.0,0.0,0.9467288748991379,0.9330499081140988,0.8848710681160051,0.8525018225449699
N7_AP_298,0.8529542553038888,0.8771042510566355,0.873733738074588,0.8579722212155952,0.8417591410493426,0.7792156424463937,0.7946874771509042,0.706492469765361,0.0,0.6535947712418301,0.8835457749978972,0.8292330346055216,0.9185427257322684,0.937431693989071,0.8966578707552751,0.8610603120771949,0.9660952508004268,0.9198060187901622,0.8108857953476052,0.8931039725927644,0.8896606010093994,0.8625199044585987,0.8866564961784961,0.7647001929984217,0.8380619783112818,0.8440097899758634,0.8267747904069689,0.8664363215829303,0.8431923776860739,0.8074392978785259,0.8576145287036839,0.7698446964005876,0.8164078643858842,0.8547393833670817,0.8396146689251467,0.7679774534414914,0.7895711457672162,0.8507543103448276,0.8234641638225255,0.7668183193023139,0.7969241423914877,0.8730487559998384,0.7956608038662191,0.7945468403547672,0.0,0.0,0.8200026119890297,0.8440145167959051,0.7931833579699434,0.8337605972937712,0.7731459183502107,0.7639839286835333,0.6888117074481334,0.7939971914706431,0.0,0.7364999721935577,0.7332339597284747,0.7645403923034251,0.694168324944399,0.7146142904699937,0.0,0.7844530991480901,0.7635072929480886,0.8633346268881092,0.8409705401903904,0.8875809390024155,0.8297980405522808,0.8704109016038237,0.8581180829263333,0.7738278740162415,0.7565643030555064
