,N6_AP-193,N6_AP_120,N6_AP_121,N6_AP_122,N6_AP_123,N6_AP_124,N6_AP_125,N6_AP_126,N6_AP_127,N6_AP_128,N6_AP_129,N6_AP_130,N6_AP_131,N6_AP_132,N6_AP_133,N6_AP_134,N6_AP_135,N6_AP_136,N6_AP_137,N6_AP_138,N6_AP_139,N6_AP_140,N6_AP_141,N6_AP_142,N6_AP_143,N6_AP_144,N6_AP_145,N6_AP_147,N6_AP_148,N6_AP_149,N6_AP_15,N6_AP_150,N6_AP_151,N6_AP_152,N6_AP_153,N6_AP_154,N6_AP_155,N6_AP_156,N6_AP_157,N6_AP_158,N6_AP_159,N6_AP_160,N6_AP_161,N6_AP_162,N6_AP_163,N6_AP_164,N6_AP_165,N6_AP_166,N6_AP_167,N6_AP_168,N6_AP_169,N6_AP_170,N6_AP_171,N6_AP_173,N6_AP_174,N6_AP_175,N6_AP_177,N6_AP_178,N6_AP_180,N6_AP_181,N6_AP_182,N6_AP_183,N6_AP_184,N6_AP_185,N6_AP_186,N6_AP_187,N6_AP_188,N6_AP_189,N6_AP_190,N6_AP_191,N6_AP_192,N6_AP_193,N6_AP_194,N6_AP_195,N6_AP_412,N6_AP_414,N6_AP_418,N6_AP_419,N6_AP_58,N6_AP_60,N6_AP_62,N6_AP_63,N6_AP_66,N6_AP_91,N6_AP_92,N6_AP_94,N6_AP_95,N6_AP_96,N6_AP_97,N7-AP-260,N7-AP-327,N7_AP_196,N7_AP_197,N7_AP_20,N7_AP_20-2F,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7_AP_26,N7_AP_27,N7_AP_298,N7_AP_299,N7_AP_3,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_9,nkg6aaaphw46,nkg6aaaphw48,nkg6baaphw43,nkg6baaphw44
N6_AP-193,,,,99,,,95,96,,,97,100,98,,98,,,,100,,96,,,,,99,95,100,94,,92,,97,,97,,,,100,,100,,,,,,83,,78,96,94,78,97,74,80,93,82,94,83,87,92,85,,97,76,74,96,92,100,82,83,96,83,96,,,,,99,94,96,90,95,100,,94,99,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_120,,,,72,64,,79,81,99,98,72,85,95,96,83,81,96,98,78,86,83,,89,,,,,99,,,92,,,,,100,,,,,,,,,,,,81,98,88,,100,86,97,90,90,96,85,99,90,89,94,,,,,,,,,,,,,,,,,,,,,,,,,74,80,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_121,,,,,99,59,,98,88,73,97,91,85,66,100,99,83,76,92,95,100,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_122,99,72,,,75,,66,84,99,96,82,87,94,96,73,84,95,97,81,88,70,,94,99,100,97,,,,100,83,,,,,,,,,,,,,,,,100,72,97,74,,95,82,93,84,71,93,78,94,87,84,86,,,,,,,99,,,,,,,,,,,,,,,,98,,62,68,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_123,,64,99,75,,98,77,70,95,92,64,80,89,92,79,74,89,93,70,82,81,,88,,100,,,,,99,88,,,,,,,,,,,,,,,,,85,100,87,,98,87,96,88,87,95,84,96,91,90,91,,,,,,,,,,,,,,,,,,,,,,,96,,77,70,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_124,,,59,,98,,96,93,85,67,94,88,85,65,99,98,80,72,92,91,98,,82,,,,,,,,99,,,,,,,,,,,,,,,,,,,100,,,,,,99,,99,,,99,,,,,,,,,,,,,,,,,,,,,,,,92,,,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_125,95,79,,66,77,96,,78,94,94,81,84,91,94,69,86,93,96,82,87,70,,91,,,,,,,,84,,,,,,,,,,,,,,,,94,74,95,72,,94,79,93,81,74,92,77,95,86,82,87,,,97,,,,,100,,,,,,,,,,,,,,,98,,72,65,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_126,96,81,98,84,70,93,78,,91,90,65,76,84,91,74,74,87,91,70,81,81,,87,,,,,,,,88,,,,,,,,99,,,,,,100,,99,88,97,86,,95,88,95,86,87,96,84,99,90,89,91,,,,,,,,,,,,,,,,,,,,,,,94,,83,79,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_127,,99,88,99,95,85,94,91,,78,97,77,72,79,93,91,73,84,89,85,94,97,78,,,,,88,,,98,98,,,97,100,,98,98,95,,,,,100,,,,,100,,100,,,100,98,,99,,97,96,,,,,,,,,,,,,,,,,,,,,,,,81,,99,94,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_128,,98,73,96,92,67,94,90,78,,87,83,75,65,96,95,75,65,88,87,94,100,75,,,,,92,,93,97,100,,99,,100,,,100,,,,,,,,,100,,100,,,98,,98,99,98,96,99,99,98,97,,,,,,,,,,,,,,,,,,,,,,,81,,98,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
