,apname,power,channel,channelusage,interferenceratio
0,N6_AP_133,32.0,60.0,5.2592592592592595,5.2407407407407405
1,N6_AP_136,32.0,60.0,5.518518518518518,5.325925925925926
2,N6_AP_144,32.0,60.0,6.377777777777778,6.353703703703704
3,N6_AP_154,31.255555555555556,60.0,5.9907407407407405,5.401851851851852
4,N6_AP_166,32.0,60.0,4.7555555555555555,4.424074074074074
5,N6_AP_91,32.0,60.0,3.553703703703704,3.55
6,N7_AP_196,32.0,60.0,3.9074074074074074,3.887037037037037
7,N7_AP_20-2F,32.0,60.0,3.901851851851852,3.901851851851852
8,N7_AP_221,32.0,60.0,3.487037037037037,3.4851851851851854
9,N7_AP_231,32.0,60.0,4.425925925925926,4.425925925925926
10,N7_AP_318,32.0,60.0,3.3944444444444444,3.3925925925925924
11,N7_AP_322,32.0,60.0,3.6222222222222222,3.6222222222222222
12,N7_AP_336,32.0,60.0,4.222222222222222,4.211111111111111
13,N7_AP_338,32.0,60.0,3.737037037037037,3.737037037037037
14,N7_AP_351,32.0,60.0,3.8222222222222224,3.8222222222222224
